canonical_name,introduces_count,uses_count,momentum_score,total_papers,idf_score,idf_tier,momentum_label
RMSNorm,0,1,-1,1,4.6052,SPECIALIZED,Negative
ReLU networks,0,1,-1,1,4.6052,SPECIALIZED,Negative
Reconstruction objective,0,1,-1,1,4.6052,SPECIALIZED,Negative
Rectilinear Steiner tree generation,0,1,-1,1,4.6052,SPECIALIZED,Negative
Recurrent neural networks,0,1,-1,1,4.6052,SPECIALIZED,Negative
Reinforcement learning from human feedback,0,1,-1,1,4.6052,SPECIALIZED,Negative
Relational match-to-sample,0,1,-1,1,4.6052,SPECIALIZED,Negative
Residue number system,0,1,-1,1,4.6052,SPECIALIZED,Negative
Retrieval augmented generation,0,1,-1,1,4.6052,SPECIALIZED,Negative
Reward Machines,0,1,-1,1,4.6052,SPECIALIZED,Negative
Ridge regression,0,1,-1,1,4.6052,SPECIALIZED,Negative
Rotary Positional Embedding,0,1,-1,1,4.6052,SPECIALIZED,Negative
Rotary position embeddings,0,1,-1,1,4.6052,SPECIALIZED,Negative
Rule-based reasoning,0,1,-1,1,4.6052,SPECIALIZED,Negative
SAFEOPT,0,1,-1,1,4.6052,SPECIALIZED,Negative
SMACv2,0,1,-1,1,4.6052,SPECIALIZED,Negative
SVRG-type variance reduction,0,1,-1,1,4.6052,SPECIALIZED,Negative
Self-attention,0,1,-1,1,4.6052,SPECIALIZED,Negative
Self-distillation,0,1,-1,1,4.6052,SPECIALIZED,Negative
Self-instruct,0,1,-1,1,4.6052,SPECIALIZED,Negative
Set-membership estimation,0,1,-1,1,4.6052,SPECIALIZED,Negative
Sharpness-Aware Minimization,0,1,-1,1,4.6052,SPECIALIZED,Negative
Single-hidden-layer ReLU networks,0,1,-1,1,4.6052,SPECIALIZED,Negative
Singular value decomposition,0,1,-1,1,4.6052,SPECIALIZED,Negative
Skill-Mix,0,1,-1,1,4.6052,SPECIALIZED,Negative
Skill-Mix evaluation,0,1,-1,1,4.6052,SPECIALIZED,Negative
Sklar's theorem,0,1,-1,1,4.6052,SPECIALIZED,Negative
Sparse expert selection,0,1,-1,1,4.6052,SPECIALIZED,Negative
Spatio-temporal kernel,0,1,-1,1,4.6052,SPECIALIZED,Negative
Stable Diffusion,0,1,-1,1,4.6052,SPECIALIZED,Negative
Stable Diffusion Ultra,0,1,-1,1,4.6052,SPECIALIZED,Negative
Standard contract theory,0,1,-1,1,4.6052,SPECIALIZED,Negative
Stochastic processes,0,1,-1,1,4.6052,SPECIALIZED,Negative
Sum-product networks,0,1,-1,1,4.6052,SPECIALIZED,Negative
Supervised fine-tuning,0,1,-1,1,4.6052,SPECIALIZED,Negative
Supervised learning,0,1,-1,1,4.6052,SPECIALIZED,Negative
Supervised safety fine-tuning,0,1,-1,1,4.6052,SPECIALIZED,Negative
SwiGLU,0,1,-1,1,4.6052,SPECIALIZED,Negative
TabR,0,1,-1,1,4.6052,SPECIALIZED,Negative
Text-to-image diffusion models,0,1,-1,1,4.6052,SPECIALIZED,Negative
Tokenization,0,1,-1,1,4.6052,SPECIALIZED,Negative
Uniform DAG sampling,0,1,-1,1,4.6052,SPECIALIZED,Negative
Unigram models,0,1,-1,1,4.6052,SPECIALIZED,Negative
Unsupervised Environment Design,0,1,-1,1,4.6052,SPECIALIZED,Negative
Unsupervised routing,0,1,-1,1,4.6052,SPECIALIZED,Negative
Update-and-deploy framework,0,1,-1,1,4.6052,SPECIALIZED,Negative
Variational Score Distillation,0,1,-1,1,4.6052,SPECIALIZED,Negative
Vector fields,0,1,-1,1,4.6052,SPECIALIZED,Negative
Video diffusion model,0,1,-1,1,4.6052,SPECIALIZED,Negative
Vine copulas,0,1,-1,1,4.6052,SPECIALIZED,Negative
Vision Transformers,0,1,-1,1,4.6052,SPECIALIZED,Negative
Wasserstein,0,1,-1,1,4.6052,SPECIALIZED,Negative
adversarial suffixes,0,1,-1,1,4.6052,SPECIALIZED,Negative
adversarial training strategies,0,1,-1,1,4.6052,SPECIALIZED,Negative
ancestral sampling,0,1,-1,1,4.6052,SPECIALIZED,Negative
bisimulation metrics,0,1,-1,1,4.6052,SPECIALIZED,Negative
class-balanced subset,0,1,-1,1,4.6052,SPECIALIZED,Negative
classifier-free guidance,0,1,-1,1,4.6052,SPECIALIZED,Negative
composite hypothesis tests,0,1,-1,1,4.6052,SPECIALIZED,Negative
consistent binary relevance surrogate,0,1,-1,1,4.6052,SPECIALIZED,Negative
counterfactual explanations,0,1,-1,1,4.6052,SPECIALIZED,Negative
deep gradient compression,0,1,-1,1,4.6052,SPECIALIZED,Negative
double integral operator,0,1,-1,1,4.6052,SPECIALIZED,Negative
dynamic programming,0,1,-1,1,4.6052,SPECIALIZED,Negative
dynamic propagation models,0,1,-1,1,4.6052,SPECIALIZED,Negative
feed-forward layer,0,1,-1,1,4.6052,SPECIALIZED,Negative
fixed-point forward gradients,0,1,-1,1,4.6052,SPECIALIZED,Negative
flow algorithms on graphs,0,1,-1,1,4.6052,SPECIALIZED,Negative
formal verification,0,1,-1,1,4.6052,SPECIALIZED,Negative
game theory,0,1,-1,1,4.6052,SPECIALIZED,Negative
gradient boosting,0,1,-1,1,4.6052,SPECIALIZED,Negative
gradient penalties,0,1,-1,1,4.6052,SPECIALIZED,Negative
graph Laplacian,0,1,-1,1,4.6052,SPECIALIZED,Negative
graph structure,0,1,-1,1,4.6052,SPECIALIZED,Negative
higher order graph neural networks,0,1,-1,1,4.6052,SPECIALIZED,Negative
kth-order Markov processes,0,1,-1,1,4.6052,SPECIALIZED,Negative
latent interventions,0,1,-1,1,4.6052,SPECIALIZED,Negative
linear models,0,1,-1,1,4.6052,SPECIALIZED,Negative
linear program,0,1,-1,1,4.6052,SPECIALIZED,Negative
local simulator access,0,1,-1,1,4.6052,SPECIALIZED,Negative
mechanistic interpretability,0,1,-1,1,4.6052,SPECIALIZED,Negative
message passing,0,1,-1,1,4.6052,SPECIALIZED,Negative
meta-learning,0,1,-1,1,4.6052,SPECIALIZED,Negative
minimum norm interpolating solutions,0,1,-1,1,4.6052,SPECIALIZED,Negative
multilayer perceptron,0,1,-1,1,4.6052,SPECIALIZED,Negative
multimodal language models,0,1,-1,1,4.6052,SPECIALIZED,Negative
neural network classifiers,0,1,-1,1,4.6052,SPECIALIZED,Negative
no-regret learning procedures,0,1,-1,1,4.6052,SPECIALIZED,Negative
normal-form games,0,1,-1,1,4.6052,SPECIALIZED,Negative
normalization layers,0,1,-1,1,4.6052,SPECIALIZED,Negative
numerical estimation,0,1,-1,1,4.6052,SPECIALIZED,Negative
one-step retrosynthesis models,0,1,-1,1,4.6052,SPECIALIZED,Negative
online reinforcement learning,0,1,-1,1,4.6052,SPECIALIZED,Negative
optimal transport distances,0,1,-1,1,4.6052,SPECIALIZED,Negative
optimal transport theory,0,1,-1,1,4.6052,SPECIALIZED,Negative
pay-per-token pricing,0,1,-1,1,4.6052,SPECIALIZED,Negative
polytope theory,0,1,-1,1,4.6052,SPECIALIZED,Negative
program synthesis,0,1,-1,1,4.6052,SPECIALIZED,Negative
proportionally fair clustering,0,1,-1,1,4.6052,SPECIALIZED,Negative
python sympy,0,1,-1,1,4.6052,SPECIALIZED,Negative
red-teaming,0,1,-1,1,4.6052,SPECIALIZED,Negative
remote photoplethysmography,0,1,-1,1,4.6052,SPECIALIZED,Negative
risk controlling prediction sets,0,1,-1,1,4.6052,SPECIALIZED,Negative
self-attention module,0,1,-1,1,4.6052,SPECIALIZED,Negative
short-flat decomposition framework,0,1,-1,1,4.6052,SPECIALIZED,Negative
sign operator,0,1,-1,1,4.6052,SPECIALIZED,Negative
spectral graph theory,0,1,-1,1,4.6052,SPECIALIZED,Negative
stochastic-process approach,0,1,-1,1,4.6052,SPECIALIZED,Negative
task prioritisation metrics,0,1,-1,1,4.6052,SPECIALIZED,Negative
teacher-student models,0,1,-1,1,4.6052,SPECIALIZED,Negative
ternary gradients,0,1,-1,1,4.6052,SPECIALIZED,Negative
text-to-image models,0,1,-1,1,4.6052,SPECIALIZED,Negative
topological data analysis,0,1,-1,1,4.6052,SPECIALIZED,Negative
transfer learning,0,1,-1,1,4.6052,SPECIALIZED,Negative
tree-based evidential learning,0,1,-1,1,4.6052,SPECIALIZED,Negative
value function approximation,0,1,-1,1,4.6052,SPECIALIZED,Negative
vanilla Sinkhorn,0,1,-1,1,4.6052,SPECIALIZED,Negative
visual search,0,1,-1,1,4.6052,SPECIALIZED,Negative
weak supervision,0,1,-1,1,4.6052,SPECIALIZED,Negative
weight noise,0,1,-1,1,4.6052,SPECIALIZED,Negative
Chain-of-Thought,0,2,-2,2,3.912,SPECIALIZED,Negative
Cross-entropy loss,0,2,-2,2,3.912,SPECIALIZED,Negative
Direct preference optimization,0,2,-2,2,3.912,SPECIALIZED,Negative
Generative models,0,2,-2,2,3.912,SPECIALIZED,Negative
Gradient descent,0,2,-2,2,3.912,SPECIALIZED,Negative
LLaMA,0,2,-2,2,3.912,SPECIALIZED,Negative
Language models,0,2,-2,2,3.912,SPECIALIZED,Negative
Markov Decision Process,0,2,-2,2,3.912,SPECIALIZED,Negative
Monte Carlo Tree Search,0,2,-2,2,3.912,SPECIALIZED,Negative
Multi-Agent Reinforcement Learning,0,2,-2,2,3.912,SPECIALIZED,Negative
Neural networks,0,2,-2,2,3.912,SPECIALIZED,Negative
Optimal transport,0,2,-2,2,3.912,SPECIALIZED,Negative
Reinforcement learning,0,2,-2,2,3.912,SPECIALIZED,Negative
Stochastic gradient descent,0,2,-2,2,3.912,SPECIALIZED,Negative
AdamW optimizer,0,3,-3,3,3.5066,SHARED,Negative
In-context learning,0,3,-3,3,3.5066,SHARED,Negative
Diffusion Models,0,5,-5,5,2.9957,GENERIC,Negative
Transformers,0,7,-7,7,2.6593,GENERIC,Negative
Large Language Models,0,9,-9,9,2.4079,GENERIC,Negative
